TableName,Columns
AzureDevOpsUsageStats,"[""; Database; Table; StartedOn; LookbackPeriod; QueryCount""]"
AzureDevOpsUsersStats,"[""; StartedOn; ClientRequestId; RootActivityId; Principal; Database; Table; MinCreatedOn; MaxCreatedOn; User; Application""]"
CommitChange,"[""; OrganizationName; RepositoryId; CommitId; ItemObjectId; ProjectId; ChangeType; ItemGitObjectType; ItemIsFolder; ItemOriginalObjectId; ItemPath; SourceServerItem; EtlIngestDate; EtlProcessDate; EtlHashCode; EtlRecordSha; Data; EtlMetadata""]"
Area,"[""; OrganizationName; AreaId; AreaPath; ProjectId; ProjectName; ParentIdentifier; AreaIdentifier; AreaName; AreaDepth; HasChildren; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildResource,"[""; OrganizationName; ProjectId; DefinitionId; BuildId; Type; Name; EtlProcessDate; Data; Hash; EtlMetadata; EtlIngestDate""]"
BuildYaml,"[""; OrganizationName; ProjectId; DefinitionId; YamlId; Index; EtlProcessDate; ParentIndex; Type; DisplayName; Data; EtlMetadata; EtlIngestDate""]"
BuildYamlMap,"[""; OrganizationName; ProjectId; DefinitionId; BuildId; YamlId; EtlProcessDate; EtlMetaData; EtlIngestDate""]"
ReleaseEnvironment,"[""; OrganizationName; ProjectId; ReleaseEnvironmentId; ReleaseEnvironmentName; ReleaseDefinitionEnvironmentId; ReleaseId; ReleaseName; ReleaseDefinitionId; ReleaseDefinitionName; ReleaseDefinitionPath; ModifiedOn; CreatedOn; EnvironmentOptionsAutoLinkWorkItems; EnvironmentOptionsBadgeEnabled; EnvironmentOptionsEmailNotificationType; EnvironmentOptionsEmailRecipients; EnvironmentOptionsEnableAccessToken; EnvironmentOptionsPublishDeploymentStatus; EnvironmentOptionsPullRequestDeploymentEnabled; EnvironmentOptionsSkipArtifactsDownload; EnvironmentOptionsTimeoutInMinutes; NextScheduledUtcTime; OwnerDisplayName; OwnerId; OwnerInactive; OwnerIsContainer; OwnerUniqueName; Rank; ReleaseCreatedByDescriptor; ReleaseCreatedByDisplayName; ReleaseCreatedById; ReleaseCreatedByIsContainer; ReleaseCreatedByUniqueName; Status; TimeToDeploy; TriggerReason; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
PushRefUpdate,"[""; OrganizationName; RepositoryId; PushId; RefName; NewObjectId; OldObjectId; ProjectId; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildWorkItem,"[""; OrganizationName; ProjectId; BuildId; RepositoryId; WorkItemId; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Push,"[""; OrganizationName; RepositoryId; PushId; PushDate; PushedByDisplayName; PushedById; PushedByUniqueName; RepositoryName; ProjectId; ProjectName; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
PushCommit,"[""; OrganizationName; RepositoryId; PushId; CommitId; ProjectId; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildArtifact,"[""; OrganizationName; ProjectId; BuildId; BuildArtifactName; EtlProcessDate; RepositoryId; ResourceData; ResourceDownloadUrl; ResourcePropertiesTransactionId; ResourcePropertiesArtifactLocation; ResourcePropertiesArtifactName; ResourcePropertiesArtifactType; ResourcePropertiesBrowsable; ResourcePropertiesContainerFolder; ResourcePropertiesLocalPath; ResourcePropertiesType; ResourceType; ResourceUrl; Data; EtlMetadata; EtlIngestDate""]"
BuildChange,"[""; OrganizationName; ProjectId; RepositoryId; BuildId; BuildChangeId; EtlProcessDate; Message; Type; AuthorDisplayName; AuthorId; AuthorUniqueName; Timestamp; Location; Pusher; MessageTruncated; Data; EtlMetadata; EtlIngestDate""]"
PullRequestIterationChange,"[""; OrganizationName; ProjectId; RepositoryId; PullRequestId; PullRequestIterationId; ChangeId; ChangeTrackingId; ChangeType; ItemObjectId; ItemOriginalObjectId; ItemPath; OriginalPath; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
CodeCoverage,"[""; OrganizationName; ProjectId; RepositoryId; BuildId; EtlProcessDate; CodeCoverageFileUrl; ConfigurationFlavor; ConfigurationId; ConfigurationPlatform; ConfigurationUri; Data; EtlMetadata; EtlIngestDate""]"
PolicyEvaluation,"[""; OrganizationName; ArtifactId; EvaluationId; ProjectId; RepositoryId; PullRequestId; CompletedDate; ConfigurationCreatedByDisplayName; ConfigurationCreatedById; ConfigurationCreatedByUniqueName; ConfigurationCreatedDate; ConfigurationId; ConfigurationIsBlocking; ConfigurationIsEnabled; ConfigurationRevision; ConfigurationSettingsAddedFilesOnly; ConfigurationSettingsAllowDownvotes; ConfigurationSettingsAllowNoFastForward; ConfigurationSettingsAllowSquash; ConfigurationSettingsAuthorId; ConfigurationSettingsBuildDefinitionId; ConfigurationSettingsCreatorVoteCounts; ConfigurationSettingsDefaultDisplayName; ConfigurationSettingsDisplayName; ConfigurationSettingsFilenamePatterns; ConfigurationSettingsInvalidateOnSourceUpdate; ConfigurationSettingsManualQueueOnly; ConfigurationSettingsMessage; ConfigurationSettingsMinimumApproverCount; ConfigurationSettingsPolicyApplicability; ConfigurationSettingsQueueOnSourceUpdateOnly; ConfigurationSettingsRequiredReviewerIds; ConfigurationSettingsResetOnSourcePush; ConfigurationSettingsScope; ConfigurationSettingsStatusGenre; ConfigurationSettingsStatusName; ConfigurationSettingsUseSquashMerge; ConfigurationSettingsValidDuration; ConfigurationTypeDisplayName; ConfigurationTypeId; ConfigurationTypeUrl; ConfigurationUrl; ContextBuildAfterMerge; ContextBuildDefinitionId; ContextBuildId; ContextBuildIsNotCurrent; ContextBuildStartedUtc; ContextConflictHash; ContextConflictResolutionHash; ContextErrorCode; ContextIsExpired; ContextLastMergeCommitId; ContextLatestStatusId; ContextLinkedWorkItemIds; ContextSourceHead; ContextWasAutoRequeued; StartedDate; Status; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
CodeCoverageModule,"[""; OrganizationName; ProjectId; RepositoryId; BuildId; ModuleName; Signature; SignatureAge; EtlProcessDate; CodeCoverageFileUrl; ConfigurationFlavor; ConfigurationId; ConfigurationPlatform; ConfigurationUri; BlockCount; BlockData; FileUrl; StatisticsBlocksCovered; StatisticsBlocksNotCovered; StatisticsLinesCovered; StatisticsLinesNotCovered; StatisticsLinesPartiallyCovered; Data; EtlMetadata; EtlIngestDate""]"
PullRequestIterationCommit,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestIterationId; CommitId; EtlProcessDate; ProjectId; AuthorDate; AuthorEmail; AuthorName; CommitterDate; CommitterEmail; CommitterName; Comment; CommentTruncated; Data; EtlMetadata; EtlIngestDate; EtlCurrent""]"
PullRequestThreadComment,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestThreadId; PullRequestThreadCommentId; EtlProcessDate; ProjectId; AuthorDisplayName; AuthorId; AuthorIsContainer; AuthorUniqueName; CommentType; Content; IsDeleted; LastUpdatedDate; PublishedDate; ParentCommentId; Data; EtlMetadata; EtlIngestDate""]"
PullRequestThread,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestThreadId; EtlProcessDate; ProjectId; CodeReviewId; ArtifactUri; CommentsCount; IsDeleted; LastUpdatedDate; PublishedDate; Status; Data; EtlMetadata; EtlIngestDate""]"
