TableName,Columns
,"[""""]"
ServiceTree_Authorization_Log,"[""; ChangeVersion; ChangeOperation; Id; Role; Scope; IdentityType; IdentityName; Expiry; Description; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_AzureSubscriptionAllInternal_Log,"[""; ChangeVersion; ChangeOperation; Id; SubscriptionId; AzureCloudId; Info; AccountOwner; SubscriptionRegisteredBy; SubscriptionStatus; Created; Modified; ModifiedBy; ExecutiveOrganization; ServiceBusETag""]"
ServiceTree_AzureSubscription_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; SubscriptionId; SubscriptionName; AzureCloud; Environment; IsHostedOnBehalfOf; ServiceInternalId; Notes; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_AzureSubscriptionMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; SubscriptionId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Endpoint_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Address; ComponentInternalId; AzureCloud; Environment; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Feature_Log,"[""; ChangeVersion; ChangeOperation; ID; Value; VariantId; EntityState; Created; CreatedBy; Modified; ModifiedBy; OId""]"
ServiceTree_FeatureToService_Log,"[""; ChangeVersion; ChangeOperation; VariantValueId; ServiceId""]"
ServiceTree_FeatureToSku_Log,"[""; ChangeVersion; ChangeOperation; PurchasableId; VariantValueId""]"
ServiceTree_FeatureValue_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; FeatureInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_MetadataDefinition_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; IsComplex; IsMultipleAllowed; IsPerCloud; Discriminator; Type; Permission; Tags; JsonSchema; InternalId; OwningServiceInternalId; Created; CreatedBy; Modified; ModifiedBy; IsValueUnique; DisplayOrder; AllowEmptyValue; IsServiceDeleteBlocker; DeprovisioningWiki; DeprovisioningContactAlias; ApplicableLevel; AuthorizedRoles""]"
ServiceTree_Offering_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Name; Description; Tags; Comments; CustomerType; Category; Venue; InternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_OfferingMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; AzureCloud; OfferingInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_OfferingToService_Log,"[""; ChangeVersion; ChangeOperation; OfferingId; ServiceId""]"
ServiceTree_OrganizationHierarchy_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Level; Name; Description; Tags; Comments; InternalId; ParentDivisionInternalId; ParentOrganizationInternalId; ParentServiceGroupInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ProductSku_Log,"[""; ChangeVersion; ChangeOperation; ID; OId; Sku; Name; OfferingId; EntityState; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ProductSkuMetadata_Log,"[""; ChangeVersion; ChangeOperation; ID; PurchasableId; MetadataDefinitionId; Value; EntityState; Created; CreatedBy; Modified; ModifiedBy; AzureCloudId""]"
ServiceTree_ProductSkuToService_Log,"[""; ChangeVersion; ChangeOperation; PurchasableId; ServiceId""]"
ServiceTree_ServiceDependency_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; DownstreamServiceInternalId; UpstreamServiceInternalId; Type; InboundDependency; InternalId; Created; CreatedBy; Modified; ModifiedBy""]"
